level	hazardmap	riskmap	dmgmilusd	
1.50	HAZARD_MAP_1.50M	RISK_MAP_1.50M	0.00
1.52	HAZARD_MAP_1.52M	RISK_MAP_1.52M	0.17
1.54	HAZARD_MAP_1.54M	RISK_MAP_1.54M	0.34
1.56	HAZARD_MAP_1.56M	RISK_MAP_1.56M	0.51
1.58	HAZARD_MAP_1.58M	RISK_MAP_1.58M	0.68
1.60	HAZARD_MAP_1.60M	RISK_MAP_1.60M	0.85
1.62	HAZARD_MAP_1.62M	RISK_MAP_1.62M	1.02
1.64	HAZARD_MAP_1.64M	RISK_MAP_1.64M	1.19
1.66	HAZARD_MAP_1.66M	RISK_MAP_1.66M	1.36
1.68	HAZARD_MAP_1.68M	RISK_MAP_1.68M	1.53
1.70	HAZARD_MAP_1.70M	RISK_MAP_1.70M	1.70
1.72	HAZARD_MAP_1.72M	RISK_MAP_1.72M	1.87
1.74	HAZARD_MAP_1.74M	RISK_MAP_1.74M	2.04
1.76	HAZARD_MAP_1.76M	RISK_MAP_1.76M	2.21
1.78	HAZARD_MAP_1.78M	RISK_MAP_1.78M	2.38
1.82	HAZARD_MAP_1.82M	RISK_MAP_1.82M	2.53
1.85	HAZARD_MAP_1.85M	RISK_MAP_1.85M	2.67
1.89	HAZARD_MAP_1.89M	RISK_MAP_1.89M	3.64
1.93	HAZARD_MAP_1.93M	RISK_MAP_1.93M	4.18
1.96	HAZARD_MAP_1.96M	RISK_MAP_1.96M	4.66
1.98	HAZARD_MAP_1.98M	RISK_MAP_1.98M	4.77
2.01	HAZARD_MAP_2.01M	RISK_MAP_2.01M	5.93
2.03	HAZARD_MAP_2.03M	RISK_MAP_2.03M	6.17
2.04	HAZARD_MAP_2.04M	RISK_MAP_2.04M	6.89
2.06	HAZARD_MAP_2.06M	RISK_MAP_2.06M	7.30
2.07	HAZARD_MAP_2.07M	RISK_MAP_2.07M	8.06
2.10	HAZARD_MAP_2.10M	RISK_MAP_2.10M	9.24
2.12	HAZARD_MAP_2.12M	RISK_MAP_2.12M	10.82
2.15	HAZARD_MAP_2.15M	RISK_MAP_2.15M	12.97
2.18	HAZARD_MAP_2.18M	RISK_MAP_2.18M	15.39
2.43	HAZARD_MAP_2.43M	RISK_MAP_2.43M	46.35
2.44	HAZARD_MAP_2.44M	RISK_MAP_2.44M	47.94
2.47	HAZARD_MAP_2.47M	RISK_MAP_2.47M	51.13
2.48	HAZARD_MAP_2.48M	RISK_MAP_2.48M	52.84
2.50	HAZARD_MAP_2.50M	RISK_MAP_2.50M	54.61
2.52	HAZARD_MAP_2.52M	RISK_MAP_2.52M	57.39
2.55	HAZARD_MAP_2.55M	RISK_MAP_2.55M	59.83
2.57	HAZARD_MAP_2.57M	RISK_MAP_2.57M	62.50
2.58	HAZARD_MAP_2.58M	RISK_MAP_2.58M	62.75
2.60	HAZARD_MAP_2.60M	RISK_MAP_2.60M	65.21
2.61	HAZARD_MAP_2.61M	RISK_MAP_2.61M	65.49
2.64	HAZARD_MAP_2.64M	RISK_MAP_2.64M	68.65
2.66	HAZARD_MAP_2.66M	RISK_MAP_2.66M	69.71
2.69	HAZARD_MAP_2.69M	RISK_MAP_2.69M	72.31
2.72	HAZARD_MAP_2.72M	RISK_MAP_2.72M	74.18

